SalePrice,SqFtTotLiving,Latitude,Longitude,SqFt2ndFloor,YrBuilt,SqFtFinBasement,SqFtDeck,SqFtGarageBasement,BrickStone,SqFtOpenPorch
575950,1500,47.754947,-122.358688,0,1956,400,230,290,0,0
285000,910,47.4435049,-122.186498,0,1941,0,0,0,0,20
309000,1320,47.4197191,-122.2059456,0,1961,300,360,0,0,0
491250,1320,47.3979623,-122.5260725,0,1930,0,490,0,0,0
800000,1300,47.665032,-122.3423639,500,2018,300,330,190,0,0
1714340,3270,47.5673751,-122.2150736,0,1954,940,400,0,0,0
540000,1920,47.4268406,-122.3465848,0,1976,0,760,0,0,50
649700,1580,47.5927869,-122.3007702,520,2016,0,370,0,0,0
742000,1670,47.5783808,-122.3970468,0,1953,640,200,0,0,0
865000,3130,47.6058006,-122.2992259,0,1926,1100,0,200,0,70
527500,1880,47.3366163,-122.1060204,0,1973,0,280,0,0,0
678000,1970,47.6499592,-122.3945724,0,1937,300,160,0,0,0
650000,1360,47.5196799,-122.385279,0,1956,0,110,460,0,0
680000,2560,47.7279146,-122.177247,0,1968,1060,220,0,0,0
1072000,3780,47.7770125,-122.3921925,1620,1980,1020,190,0,0,40
965000,1530,47.6819082,-122.2708897,0,1944,0,370,240,0,0
367000,1610,47.4120113,-122.1903158,0,1963,0,0,0,0,0
475000,1540,47.4780093,-122.2123138,0,1925,0,0,0,0,100
1600000,3960,47.5933365,-122.2069737,0,1962,1960,320,0,0,310
840000,3070,47.5502415,-122.2637542,0,1959,1380,140,0,100,0
649950,1160,47.6574291,-122.3484712,390,2018,380,310,0,0,10
328000,1190,47.3425958,-122.2835606,0,1967,0,0,0,0,0
730000,1780,47.6107316,-122.3034118,0,1977,540,200,280,0,0
344000,1400,47.4561543,-122.3567384,0,1955,0,170,0,0,80
420000,2100,47.7718817,-122.3793186,0,1955,850,0,0,0,120
435000,1710,47.5100455,-122.2520545,0,1958,500,350,220,0,0
350000,1450,47.7179027,-122.308559,0,1952,0,200,440,0,0
260000,1180,47.3122497,-122.2105204,0,1947,0,320,0,0,0
576250,1730,47.4701718,-122.3648117,0,1914,0,0,0,0,50
935000,1550,47.7147869,-122.2154419,0,2017,0,0,0,0,130
210000,1060,47.3322801,-122.360299,0,1963,0,0,260,0,0
515000,1880,47.495735,-122.298419,1170,2018,0,0,0,0,60
750000,2320,47.497873,-122.157512,1210,2019,0,0,0,0,260
420000,1680,47.5240235,-122.351353,0,1948,0,0,0,0,240
622000,1400,47.716066,-122.3550962,530,2018,350,580,200,0,0
360000,1550,47.4899525,-122.2571654,0,1910,0,210,0,0,0
1050000,2060,47.6586241,-122.2749995,780,1942,420,0,180,0,290
725000,1900,47.5484178,-122.1760462,950,1965,0,0,0,0,60
541000,1430,47.5759343,-122.3923051,0,1975,430,0,0,0,0
617990,2822,47.431206,-122.1782071,1242,2019,387,0,0,0,72
497500,1200,47.7640499,-122.2944859,0,1984,0,0,0,0,60
587000,2470,47.495219,-122.2979642,1180,2018,170,0,450,0,0
601000,1700,47.6056406,-122.1274155,880,1958,0,0,0,0,0
195000,1550,47.5653185,-122.3683783,520,2016,510,430,0,0,0
340000,1390,47.390413,-122.2018681,0,1966,0,0,0,0,0
280000,980,47.5065634,-122.3594003,0,1947,0,200,0,0,0
749000,2040,47.7073123,-122.3511449,680,1932,160,0,220,0,0
490000,2210,47.2947652,-122.1370948,0,1978,0,690,0,0,40
353610,1940,47.2961748,-122.1618936,0,1978,680,100,530,0,0
1568000,2350,47.5673016,-122.1493676,0,1969,730,720,530,0,0
870000,2460,47.554187,-122.1832616,680,1960,200,0,400,0,0
350000,1320,47.777244,-122.3001416,0,1954,0,190,0,0,0
669950,1390,47.6788294,-122.3763638,430,2019,100,290,290,0,0
850000,1950,47.7402894,-122.1300233,840,1977,0,0,0,0,80
720000,1580,47.5957991,-122.2985243,590,2017,400,500,170,0,0
110000,780,47.3845545,-122.3246469,0,1941,0,0,0,16,0
319900,1988,47.4494426,-122.1706875,0,1959,0,0,0,0,70
850000,950,47.6901962,-122.1645378,0,1950,0,0,0,0,0
550000,980,47.6084314,-122.2963965,330,2018,320,210,0,0,0
600000,1540,47.5588561,-122.3632237,520,2016,0,490,0,0,0
725000,1800,47.5324489,-122.3867822,0,1926,100,60,0,0,40
879000,2790,47.7295314,-122.1211183,0,1981,0,360,0,0,0
776950,3188,47.4358173,-122.1591821,1477,2019,0,0,0,0,25
710000,1310,47.7220878,-122.2039146,0,1962,0,0,0,0,0
989990,3010,47.4849012,-122.1354674,1740,2018,0,0,0,0,310
659880,1440,47.6917598,-122.3055941,640,2019,260,0,330,0,90
1105000,2900,47.5486339,-122.220333,0,1957,1280,180,0,0,0
385000,1210,47.5263397,-122.3222394,430,2016,0,400,0,0,0
455000,2090,47.4989642,-122.257288,0,1967,800,50,490,0,0
685000,1700,47.599753,-122.2982911,580,2016,540,350,0,0,70
620000,1700,47.7663426,-122.3107697,0,1969,0,300,0,0,70
630300,3300,47.666564,-122.3034383,1940,2016,0,0,0,0,460
605000,2250,47.7145468,-122.2372454,0,1980,920,660,640,0,0
1550000,3170,47.6185257,-122.1638477,0,1973,1160,0,0,10,0
666040,2990,47.49568,-122.1454538,1320,2016,180,0,690,0,300
780000,2690,47.5703934,-122.120025,0,1968,1200,720,0,0,0
320000,1440,47.4583214,-122.188604,0,1952,0,0,0,0,0
499900,1800,47.5157556,-122.3490074,760,2019,310,60,390,0,60
617000,2510,47.4914971,-122.1434183,1270,2006,0,0,0,0,130
920000,2440,47.6412392,-122.1683576,1060,1972,0,0,0,0,160
1325000,1930,47.6353408,-122.3130938,0,1926,150,0,290,0,0
1000000,1920,47.6061886,-122.1744303,0,1974,380,0,290,0,0
340000,1080,47.5089274,-122.3788368,0,1958,0,190,0,0,0
649000,1610,47.6894368,-122.3851101,0,1940,470,70,0,0,0
365000,2000,47.3669131,-122.2893644,0,1977,820,0,280,0,0
960000,2460,47.6860109,-122.3807456,0,1965,890,0,0,0,80
650000,2110,47.4480505,-122.3504972,0,1950,0,480,0,0,0
663000,2320,47.7042561,-122.2007803,0,1963,630,230,550,0,0
821888,2680,47.5540192,-122.1705735,0,1961,760,350,590,0,0
611101,1450,47.5817399,-122.3151675,490,2017,480,380,0,0,0
250000,1260,47.3668927,-122.1975871,0,1942,0,0,0,0,110
415000,2390,47.2619216,-122.2696057,0,1978,0,0,0,0,0
774950,2200,47.4930119,-122.1422356,1320,2019,0,0,0,0,140
1355000,2400,47.6360972,-122.3144997,1200,1922,0,170,0,0,120
1175000,1840,47.616767,-122.3005641,650,2017,0,360,0,0,0
431000,960,47.5517276,-122.3126882,0,1919,0,0,0,0,100
550000,1310,47.5355601,-122.3869846,0,1918,330,0,0,0,0
550000,3400,47.7690885,-122.1965244,0,1967,1670,0,0,0,90
979990,3030,47.4849952,-122.1363548,1660,2018,0,0,0,0,210
320000,1150,47.3848124,-122.288935,0,1961,0,0,0,0,300
265000,1990,47.408374,-122.1940349,0,1965,810,0,340,20,0
715000,1350,47.6728648,-122.380551,410,2019,0,220,0,0,0
800000,3780,47.6338414,-122.1139282,0,1966,0,340,0,0,0
1025000,4400,47.5362845,-122.2362382,0,1967,1980,660,440,0,110
370000,900,47.5169821,-122.3843801,0,1932,0,0,0,0,0
1200000,1460,47.6246208,-122.3143252,590,2017,300,0,200,0,0
677000,1850,47.7575917,-122.3569479,0,1959,550,150,580,0,0
525500,1690,47.7325431,-122.2980214,0,1962,520,600,600,0,0
850000,2710,47.7041916,-122.237666,0,1980,0,430,0,0,70
670000,1510,47.5416945,-122.2995026,0,1949,360,0,0,100,0
403950,1380,47.4868849,-122.1607881,640,2016,150,0,420,0,80
660000,2070,47.7653691,-122.3344937,0,1966,750,140,510,0,0
419950,1380,47.4872003,-122.1610867,640,2016,150,0,420,0,80
620000,1270,47.6747779,-122.3538018,0,1901,0,620,0,0,140
610000,1800,47.5461212,-122.3890245,0,1957,0,0,0,16,0
1150000,3160,47.5876343,-122.1737493,0,1960,1580,310,0,0,0
905000,1410,47.6747804,-122.2846042,0,1948,0,290,0,0,0
554950,2550,47.381129,-122.214681,1399,2018,0,0,0,0,145
325000,1560,47.3726282,-122.31179,0,1968,780,252,0,0,0
425000,1880,47.4734424,-122.3501191,0,1956,940,300,0,0,0
700000,1660,47.6726514,-122.3231778,0,1914,0,0,0,0,180
510000,1700,47.7042707,-122.2034674,0,1967,0,0,0,0,90
475000,1760,47.5011643,-122.3534997,0,1952,0,0,0,0,0
465000,610,47.692251,-122.3478731,0,1921,0,0,0,0,60
775000,1720,47.7013728,-122.199727,0,1953,0,360,0,0,100
240000,2110,47.3418994,-122.2899634,0,1966,980,110,0,0,0
915000,1840,47.594949,-122.3000552,710,2018,440,580,210,0,30
750000,2080,47.7188533,-122.2904965,780,1936,0,0,340,0,80
650000,1870,47.7096703,-122.2808685,0,1947,250,0,260,0,0
352250,1304,47.3669122,-122.3181657,0,1967,0,309,0,0,0
895888,3540,47.5929918,-122.153774,0,1966,650,0,460,0,400
178000,1270,47.3777838,-122.2847368,0,1959,0,0,0,25,0
590000,2380,47.5766992,-122.1510784,0,1955,1000,0,0,0,0
479250,3270,47.309205,-122.3857621,0,1978,1080,0,490,0,0
1300000,2840,47.5440684,-122.2306537,0,1977,840,0,730,0,0
550000,2630,47.4549423,-122.3352121,0,1980,700,480,770,0,40
353000,1800,47.3134801,-122.3528247,410,1982,0,120,0,0,0
515000,2040,47.5410953,-122.2778889,0,1942,780,0,180,0,0
1209233,2810,47.712638,-122.2360885,1610,2017,0,0,0,0,150
475000,1890,47.471583,-122.1187515,0,1968,0,0,0,0,0
253000,960,47.4972043,-122.1894456,0,1942,0,0,0,0,0
1050000,2500,47.6881438,-122.3334525,1250,1903,150,220,0,0,280
588500,2470,47.4950942,-122.2979535,1180,2018,170,0,450,0,0
620000,2946,47.327453,-122.166231,1767,2018,0,0,0,0,72
563500,1210,47.5761091,-122.1490048,0,1955,0,0,0,0,40
635000,1830,47.7167679,-122.3136588,0,1944,0,40,0,0,0
1750000,3060,47.6261959,-122.3096342,890,1905,890,400,0,0,100
745000,1700,47.5476493,-122.2782894,930,2019,0,0,0,0,0
749000,2120,47.7537289,-122.3122508,890,2019,450,70,400,0,0
1000000,2750,47.5744401,-122.2360066,0,1942,1300,420,0,0,0
900000,2740,47.5886502,-122.2443816,0,1956,1370,200,0,0,0
714000,1420,47.6743877,-122.3650729,480,2019,460,440,0,0,0
715000,1580,47.6730471,-122.1500052,0,1969,420,180,520,0,0
631000,1410,47.6344093,-122.1266141,0,1955,0,0,0,0,190
815000,2040,47.6537001,-122.4070517,0,1947,1140,60,0,0,0
